Time,Document,Desk,DoorHandle,Hand_1,Hand_2,Mucosa_1,Mucosa_2,Air,Viral Exposure_Fomites_1,Viral Exposure_Fomites_2,Viral Exposure_CloseContact_1,Viral Exposure_CloseContact_2,Viral Exposure_Aerosol_1,Viral Exposure_Aerosol_2,Viral Exposure_Total_1,Viral Exposure_Total_2,Risk_1,Risk_2
12.4708357407787,1437673.9259939,6435342.56074107,41268.9034599096,110634.11274365,287031.338347902,435618.113316957,4000000,532322.578218454,738577.925035641,4000000,105405.934727891,4000000,60388.3763710837,4000000,904372.236134616,4000000,0.898687954427235,0.999959998046938
12.4958357407787,1455831.71511153,6529087.17422879,41667.2712583653,110877.394066857,290124.988630259,434934.701643316,4000000,532322.580467605,739386.946358078,4000000,105618.374727891,4000000,60518.1299998001,4000000,905523.451085769,4000000,0.898982795304565,0.999959998046938
12.5208357407787,1474024.01160662,6622730.23281534,42068.153437097,111153.322476471,293073.237087381,434255.855577031,4000000,532322.582646265,740197.865370716,4000000,105830.814727891,4000000,60647.8836290561,4000000,906676.563727663,4000000,0.89927726202995,0.999959998046938
12.5458357407787,1492247.99533298,6716268.68161503,42471.4387340658,111459.802671787,295885.255865956,433581.787586397,4000000,532322.584756646,741010.91285818,4000000,106043.254727891,4000000,60777.6372588347,4000000,907831.804844906,4000000,0.899571411545689,0.999959998046938
12.5708357407787,1510501.01143728,6809699.66051364,42877.0222705135,111794.861189423,298569.67674696,432912.695669631,4000000,532322.586800891,741826.305869776,4000000,106255.694727891,4000000,60907.3908891197,4000000,908989.391486786,4000000,0.899865296635938,0.999959998046938
12.5958357407787,1528780.58708407,6903020.52519231,43284.8062003072,112156.65874766,301134.536461959,432248.761899662,4000000,532322.588781073,742644.246333061,4000000,106468.134727891,4000000,61037.144519895,4000000,910149.525580847,4000000,0.90015896562905,0.999959998046938
12.6208357407787,1547084.4143718,6996228.8271417,43694.6990478195,112543.477720507,303587.332934845,431590.15391693,4000000,532322.590699197,743464.922465263,4000000,106680.574727891,4000000,61166.8981511454,4000000,911312.395344299,4000000,0.9004524628108,0.999959998046938
12.6458357407787,1565410.32844072,7089322.2874739,44106.6148613365,112953.706136933,305935.096755928,430937.026833829,4000000,532322.592557206,744288.510574911,4000000,106893.014727891,4000000,61296.651782856,4000000,912478.177085658,4000000,0.900745828929045,0.999959998046938
12.6708357407787,1583756.29591543,7182298.78299075,44520.4727671115,113385.829296652,308184.428701811,430289.524237559,4000000,532322.594356985,745115.176006304,4000000,107105.454727891,4000000,61426.4054150123,4000000,913647.036149207,4000000,0.901039101475331,0.999959998046938
12.6958357407787,1602120.40968033,7275156.3399317,44936.1967680668,113838.426005071,310341.51670094,429647.778645893,4000000,532322.596100359,745945.073564437,4000000,107317.894727891,4000000,61556.1590476004,4000000,914819.127339928,4000000,0.901332314832314,0.999959998046938
